country_code,UNICEF Reporting Region,UNICEF Programme Region,wealth_index,Year,Source,Long Source,Male,Female,Rural,Urban,Primary,Sec & Higher
AFG-Afghanistan,South Asia,ROSA,Low income,2011,MICS 2010-2011,Multiple Indicator Cluster Survey 2010-2011,17.5,18.8,17.6,21.4,21.8,
AFG-Afghanistan,South Asia,ROSA,Low income,2015,DHS 2015,Demographic and Health Survey 2015,55.1,53,53.7,55.1,56.2,68.2
AFG-Afghanistan,South Asia,ROSA,Low income,2018,Afghanistan Health Survey 2018,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,58.7,62,61.7,55.6,57.8,
AGO-Angola,Eastern and Southern Africa,ESARO,Lower middle income,2016,DHS 2015-2016,Demographic and Health Survey 2015-2016,45.1,44.1,39.2,47.8,42.8,53.2
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,3.4,11.2,7.1,5,7.6,3.2
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2005,MICS 2005,Multiple Indicator Cluster Survey 2005,2,11.5,7.3,,,5.4
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2009,DHS 2008-2009,Demographic and Health Survey 2008-2009,63.1,57.7,61.9,59.6,60.8,63.7
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2018,DHS 2017-2018,Demographic and Health Survey 2017-2018,64.7,63,67.6,58.8,67.5,59.7
ARG-Argentina,Latin America and Caribbean,LACRO,Upper middle income,2020,MICS 2019-2020,Multiple Indicator Cluster Survey 2019-2020,,,,,,
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,DHS 2000,Demographic and Health Survey 2000,24.1,29.4,27,25.2,,26.5
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2005,DHS 2005,Demographic and Health Survey 2005,32.6,30.5,26.8,35.9,,32
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2010,DHS 2010,Demographic and Health Survey 2010,50,35.2,45.7,41.2,50.9,42.2
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2016,DHS 2015-2016,Demographic and Health Survey 2015-2016,,-86.9,,,,
AZE-Azerbaijan,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,2.6,4,4.3,1.3,,3
AZE-Azerbaijan,Eastern Europe and Central Asia,ECARO,Upper middle income,2006,DHS 2006,Demographic and Health Survey 2006,36.6,29.3,35.2,31.8,,33.5
BDI-Burundi,Eastern and Southern Africa,ESARO,Low income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,12.6,14.8,13.6,15.2,16.3,9.1
BDI-Burundi,Eastern and Southern Africa,ESARO,Low income,2005,MICS 2005,Multiple Indicator Cluster Survey 2005,12.1,11.9,12.1,8.1,12.4,12.4
BDI-Burundi,Eastern and Southern Africa,ESARO,Low income,2010,DHS 2010,Demographic and Health Survey 2010,57.8,57,57.7,53.4,58.3,55
BDI-Burundi,Eastern and Southern Africa,ESARO,Low income,2017,DHS 2016-2017,Demographic and Health Survey 2016-2017,,,59,64.1,,
BEN-Benin,West and Central Africa,WCARO,Lower middle income,2001,DHS 2001,Demographic and Health Survey 2001,25.1,22,22.2,27.3,26.3,25
BEN-Benin,West and Central Africa,WCARO,Lower middle income,2006,DHS 2006,Demographic and Health Survey 2006,21.3,20.3,20.6,21.4,23.7,36.6
BEN-Benin,West and Central Africa,WCARO,Lower middle income,2012,DHS 2011-2012,Demographic and Health Survey 2011-2012,36.3,36.8,34.4,39.8,37,40.4
BEN-Benin,West and Central Africa,WCARO,Lower middle income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,30.7,25.8,28.7,27.6,,
BEN-Benin,West and Central Africa,WCARO,Lower middle income,2018,DHS 2017-2018,Demographic and Health Survey 2017-2018,42.1,43.3,39.8,47.7,47.9,47.7
BFA-Burkina Faso,West and Central Africa,WCARO,Low income,2003,DHS 2003,Demographic and Health Survey 2003,17.9,16.3,14.9,31.7,30.1,36
BFA-Burkina Faso,West and Central Africa,WCARO,Low income,2010,DHS 2010,Demographic and Health Survey 2010,49.5,45.6,46.2,53.6,52.5,58.5
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2004,DHS 2004,Demographic and Health Survey 2004,16.3,15.1,12.3,31.4,13.9,27.4
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,3.6,2.8,2.6,5.1,2.8,4.5
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2007,DHS 2007,Demographic and Health Survey 2007,40.5,43.6,41.2,44,42,50.1
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2011,DHS 2011,Demographic and Health Survey 2011,24.8,24.9,20.3,45.4,20.9,32
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2014,DHS 2014,Demographic and Health Survey 2014,37.2,34.6,30.4,52.3,25.2,42
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2018,DHS 2017-2018,Demographic and Health Survey 2017-2018,36,39.5,35.5,43.4,,
BGD-Bangladesh,South Asia,ROSA,Lower middle income,2019,MICS 2019,Multiple Indicator Cluster Survey 2019,26.8,28.2,26.7,30.4,,
BIH-Bosnia and Herzegovina,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,0.8,,0.6,,1.1,
BIH-Bosnia and Herzegovina,Eastern Europe and Central Asia,ECARO,Upper middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,18.8,7.5,18.3,7.8,15.7,13.6
BIH-Bosnia and Herzegovina,Eastern Europe and Central Asia,ECARO,Upper middle income,2012,MICS 2011-2012,Multiple Indicator Cluster Survey 2011-2012,4.1,5.4,5,3.7,5.5,4.4
BLR-Belarus,Eastern Europe and Central Asia,ECARO,Upper middle income,2005,MICS 2005,Multiple Indicator Cluster Survey 2005,8.4,9.9,2,13.3,,
BLR-Belarus,Eastern Europe and Central Asia,ECARO,Upper middle income,2012,MICS 2012,Multiple Indicator Cluster Survey 2012,4,13.3,3.9,11,,9.4
BLR-Belarus,Eastern Europe and Central Asia,ECARO,Upper middle income,2019,MICS 2019,Multiple Indicator Cluster Survey 2019,53.2,63.7,69.8,52,,
BLZ-Belize,Latin America and Caribbean,LACRO,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,10.1,5,7.5,7.7,,8.4
BLZ-Belize,Latin America and Caribbean,LACRO,Lower middle income,2011,MICS 2011,Multiple Indicator Cluster Survey 2011,6.6,4.7,7.4,2.4,8.7,3.1
BLZ-Belize,Latin America and Caribbean,LACRO,Lower middle income,2016,MICS 2015-2016,Multiple Indicator Cluster Survey 2015-2016,40.4,35.1,44.9,27.1,,
BOL-Bolivia (Plurinational State of),Latin America and Caribbean,LACRO,Lower middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,9.8,8.9,8.3,10.3,9.6,7.9
BOL-Bolivia (Plurinational State of),Latin America and Caribbean,LACRO,Lower middle income,2004,DHS 2003-2004,Demographic and Health Survey 2003-2004,34.8,33.4,34.5,34,31.9,38.9
BOL-Bolivia (Plurinational State of),Latin America and Caribbean,LACRO,Lower middle income,2008,DHS 2008,Demographic and Health Survey 2008,48,47.6,41.1,54.6,42.2,59
BOL-Bolivia (Plurinational State of),Latin America and Caribbean,LACRO,Lower middle income,2016,EDSA 2016,Encuesta de Demografia y Salud (EDSA ) 2016,65.1,64.3,59.2,67.3,,
BTN-Bhutan,South Asia,ROSA,Lower middle income,2010,MICS 2010,Bhutan 2010 Multiple Indicator Survey,10,6.8,10.4,4,4.9,4
CAF-Central African Republic,West and Central Africa,WCARO,Low income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,5.7,5,5.3,5.3,6.7,4.3
CAF-Central African Republic,West and Central Africa,WCARO,Low income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,4.4,4.7,4,5.2,4.2,6.8
CAF-Central African Republic,West and Central Africa,WCARO,Low income,2010,MICS 2010,Multiple Indicator Cluster Survey 2010,3,2.4,2.4,3.2,3.2,2.8
CAF-Central African Republic,West and Central Africa,WCARO,Low income,2019,MICS 2018-2019,Multiple Indicator Cluster Survey 2018-2019,32.2,30.6,30.6,33.3,,
CHN-China,East Asia and Pacific,EAPRO,Upper middle income,2016,NHC 2016,"National Health Commission, Health Statistical Yearbook 2016",,,,,,
CHN-China,East Asia and Pacific,EAPRO,Upper middle income,2017,NHC 2017,"National Health Commission, Health Statistical Yearbook 2017",,,,,,
CIV-Côte d'Ivoire,West and Central Africa,WCARO,Lower middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,2.6,4.1,3.5,3.1,3.8,4
CIV-Côte d'Ivoire,West and Central Africa,WCARO,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,3,4.7,3.5,4.5,3,8.6
CIV-Côte d'Ivoire,West and Central Africa,WCARO,Lower middle income,2012,DHS 2011-2012,Demographic and Health Survey 2011-2012,26.4,28,26.2,28.7,34.6,41.4
CIV-Côte d'Ivoire,West and Central Africa,WCARO,Lower middle income,2016,MICS 2016,Multiple Indicator Cluster Survey 2016,31.9,32.6,33,30.9,35.1,32.8
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,5.4,3,4.1,5,5.1,5.9
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2004,DHS 2004,Demographic and Health Survey 2004,20.8,22.1,17,29,21.9,28.5
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,4.6,3.7,4.6,3.3,5.4,4
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2011,DHS 2011,Demographic and Health Survey 2011,24.5,21.1,19.3,28.8,23.6,35.7
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,26.1,24.2,23.4,28.7,25,33.4
CMR-Cameroon,West and Central Africa,WCARO,Lower middle income,2018,DHS 2018,Demographic and Health Survey 2018,51.1,52.3,47.5,56.1,49.8,53.7
COD-Democratic Republic of the Congo,West and Central Africa,WCARO,Low income,2001,MICS 2001,Multiple Indicator Cluster Survey 2001,5.9,6.4,6.4,5.4,5.4,4.7
COD-Democratic Republic of the Congo,West and Central Africa,WCARO,Low income,2007,DHS 2007,Demographic and Health Survey 2007,32.1,33.1,31.3,34.7,28.7,35.5
COD-Democratic Republic of the Congo,West and Central Africa,WCARO,Low income,2010,MICS 2010,Multiple Indicator Cluster Survey 2010,4.6,4.8,5,3.9,4.6,5.9
COD-Democratic Republic of the Congo,West and Central Africa,WCARO,Low income,2014,DHS 2013-2014,Demographic and Health Survey 2013-2014,37.7,40.4,42.5,32.1,38.2,38.4
COD-Democratic Republic of the Congo,West and Central Africa,WCARO,Low income,2018,MICS 2017-2018,Multiple Indicator Cluster Survey 2017-2018,27.8,28.8,30.7,24.4,26.7,29.7
COG-Congo,West and Central Africa,WCARO,Lower middle income,2005,DHS 2005,Demographic and Health Survey 2005,29.3,20,26.9,22.4,22.8,25.1
COG-Congo,West and Central Africa,WCARO,Lower middle income,2012,DHS 2011-2012,Demographic and Health Survey 2011-2012,39.9,33.2,31.9,38.8,29.1,40.3
COG-Congo,West and Central Africa,WCARO,Lower middle income,2015,MICS 2014-2015,Multiple Indicator Cluster Survey 2014-2015,30.2,34.2,28.9,34.4,30.4,40
COL-Colombia,Latin America and Caribbean,LACRO,Upper middle income,2000,DHS 2000,Demographic and Health Survey 2000,30.2,27.1,22.2,32.3,24.3,34.2
COL-Colombia,Latin America and Caribbean,LACRO,Upper middle income,2005,DHS 2004-2005,Demographic and Health Survey 2004-2005,30.9,29.7,31.4,29.8,30.2,31.2
COL-Colombia,Latin America and Caribbean,LACRO,Upper middle income,2010,DHS 2009-2010,Demographic and Health Survey 2009-2010,41.8,44.8,36.8,46.4,36.8,46
COM-Comoros,Eastern and Southern Africa,ESARO,Lower middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,13,14.2,14.3,10.7,9.6,9.9
COM-Comoros,Eastern and Southern Africa,ESARO,Lower middle income,2012,DHS-MICS 2012,"Demographic and Health Survey, Multiple Indicator Cluster Survey 2012",41.3,37.7,39.2,40.5,36.6,41.3
CRI-Costa Rica,Latin America and Caribbean,LACRO,Upper middle income,2011,MICS 2011,Multiple Indicator Cluster Survey 2011,3.9,4.7,3.8,4.3,3.9,4.4
CRI-Costa Rica,Latin America and Caribbean,LACRO,Upper middle income,2018,MICS 2018,Multiple Indicator Cluster Survey 2018,40.6,51.4,41.9,48.2,,
CUB-Cuba,Latin America and Caribbean,LACRO,Upper middle income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,78.7,69,90.5,67.7,58.1,74.2
CUB-Cuba,Latin America and Caribbean,LACRO,Upper middle income,2019,MICS 2019,Multiple Indicator Cluster Survey 2019,57.8,47.2,54.5,52.1,,
DJI-Djibouti,Eastern and Southern Africa,MENA,Lower middle income,2012,EDSF/PAPFAM 2012,EDSF/PAPFAM 2012,,,,,,
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,12.1,13.9,14.8,10.7,14.2,10.9
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2002,DHS 2002,Demographic and Health Survey 2002,35.3,36.1,38.7,33.9,33.5,38.2
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2007,DHS 2007,Demographic and Health Survey 2007,52.9,52.4,50.6,53.8,51.1,54.3
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2013,DHS 2013,Demographic and Health Survey 2013,50.1,54.1,61.1,49.1,56.6,49.9
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,53.8,50.7,56.6,50.8,50.8,53.4
DOM-Dominican Republic,Latin America and Caribbean,LACRO,Upper middle income,2019,MICS 2019,Multiple Indicator Cluster Survey 2019,56.9,56.4,58.8,56,,
DZA-Algeria,Middle East and North Africa,MENA,Lower middle income,2019,MICS 2018-2019,Multiple Indicator Cluster Survey 2018-2019,43.6,46.6,57.1,36.3,,
EGY-Egypt,Middle East and North Africa,MENA,Lower middle income,2000,DHS 2000,Demographic and Health Survey 2000,47,45.6,43.4,52.2,53.4,49.9
EGY-Egypt,Middle East and North Africa,MENA,Lower middle income,2003,DHS 2003 (Interim DHS),Demographic and Health Survey 2003,50.7,39.6,45.5,46.2,42.5,46.1
EGY-Egypt,Middle East and North Africa,MENA,Lower middle income,2005,DHS 2005,Demographic and Health Survey 2005,49.2,46.6,44.9,53.7,50,50
EGY-Egypt,Middle East and North Africa,MENA,Lower middle income,2008,DHS 2008,Demographic and Health Survey 2008,57.8,53.8,54.7,57.8,53.5,57.1
EGY-Egypt,Middle East and North Africa,MENA,Lower middle income,2014,DHS 2014,Demographic and Health Survey 2014,57.3,53,54,58.7,55.3,56.5
ERI-Eritrea,Eastern and Southern Africa,ESARO,Low income,2002,DHS 2002,Demographic and Health Survey 2002,42.4,41.2,41.2,43.7,47,44.4
ETH-Ethiopia,Eastern and Southern Africa,ESARO,Low income,2000,DHS 2000,Demographic and Health Survey 2000,14.1,12.4,10.9,43.4,19.3,31.4
ETH-Ethiopia,Eastern and Southern Africa,ESARO,Low income,2005,DHS 2005,Demographic and Health Survey 2005,24.8,19.6,21.6,35,33.6,44.6
ETH-Ethiopia,Eastern and Southern Africa,ESARO,Low income,2011,DHS 2010-2011,Demographic and Health Survey 2010-2011,31.1,32.6,29.2,53.5,34.6,76.2
ETH-Ethiopia,Eastern and Southern Africa,ESARO,Low income,2016,DHS 2016,Demographic and Health Survey 2016,40.6,48.3,42.4,59.8,56.7,51.2
FJI-Fiji,East Asia and Pacific,EAPRO,Upper middle income,2021,MICS 2021 (Preliminary Results),Multiple Indicator Cluster Survey 2021 (Preliminary Results),,,,,,
GAB-Gabon,West and Central Africa,WCARO,Upper middle income,2001,DHS 2000-2001,Demographic and Health Survey 2000-2001,33.7,31.5,26.1,34.6,28.7,36.2
GAB-Gabon,West and Central Africa,WCARO,Upper middle income,2012,DHS 2012,Demographic and Health Survey 2012,47.8,51.7,47.4,50.2,55,51
GEO-Georgia,Eastern Europe and Central Asia,ECARO,Upper middle income,2018,MICS 2018,Georgia 2018 Multiple Indicator Cluster Survey,50.8,57.9,48.9,58.1,,
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2003,DHS 2003,Demographic and Health Survey 2003,27.4,23.4,21.3,35.5,26.3,23.3
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,5,4,5.9,1.9,5.8,3.5
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2008,DHS 2008,Demographic and Health Survey 2008,40.1,41.9,42.8,37.5,36.8,43.5
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2011,MICS 2011,Multiple Indicator Cluster Survey 2011,10.4,8.8,8.4,11.8,8.5,19.8
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2014,DHS 2014,Demographic and Health Survey 2014,63.5,64.8,66.5,60.4,61.5,61.7
GHA-Ghana,West and Central Africa,WCARO,Lower middle income,2018,MICS 2017-2018,Multiple Indicator Cluster Survey 2017-2018,35.9,36.6,40.2,30.4,,
GIN-Guinea,West and Central Africa,WCARO,Low income,2005,DHS 2005,Demographic and Health Survey 2005,27.7,25.9,22.3,42.9,36.3,30.8
GIN-Guinea,West and Central Africa,WCARO,Low income,2012,DHS-MICS 2012,Demographic and Health Survey-Multiple Indicator Cluster Survey 2012,39.6,35.5,33.5,48.9,46.8,54.3
GIN-Guinea,West and Central Africa,WCARO,Low income,2016,MICS 2016,Multiple Indicator Cluster Survey 2016,61.1,53.7,54.6,64.7,62.1,78.7
GIN-Guinea,West and Central Africa,WCARO,Low income,2018,DHS 2018,Demographic and Health Survey 2018,68.6,66.6,63.1,78.4,64.4,
GMB-Gambia,West and Central Africa,WCARO,Low income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,7.1,11.6,9.9,8.2,6.7,11.7
GMB-Gambia,West and Central Africa,WCARO,Low income,2006,MICS 2005-2006,Multiple Indicator Cluster Survey 2005-2006,7,7,7.2,6.7,10.6,5.7
GMB-Gambia,West and Central Africa,WCARO,Low income,2013,DHS 2013,Demographic and Health Survey 2013,68.9,65.7,69,65.9,65.3,65.6
GMB-Gambia,West and Central Africa,WCARO,Low income,2018,MICS 2018,Multiple Indicator Cluster Survey 2018,53.5,50.9,58.3,48,,
GMB-Gambia,West and Central Africa,WCARO,Low income,2020,DHS 2019-2020,Gambia 2019-2020 Demographic and Health Survey,63.7,60.4,70.3,58.3,63.1,63
GNB-Guinea-Bissau,West and Central Africa,WCARO,Low income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,14.1,17.5,13.8,20.5,22.1,25.2
GNB-Guinea-Bissau,West and Central Africa,WCARO,Low income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,4,5.2,3.1,8,3,10.6
GNB-Guinea-Bissau,West and Central Africa,WCARO,Low income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,51.2,41.6,42.5,52.4,48.1,60.9
GNB-Guinea-Bissau,West and Central Africa,WCARO,Low income,2019,MICS 2018-2019,Multiple Indicator Cluster Survey 2018-2019,43.8,37.6,37.2,47.3,,
GNQ-Equatorial Guinea,West and Central Africa,WCARO,Upper middle income,2011,DHS 2011,Demographic and Health Survey 2011,55.2,49.9,48.6,56.6,50.9,53.4
